"hotel";"can";"lt";"arr_m";"arr_wn";"s_wend_n";"s_wday_n";"adults";"children";"babies";"meal";"country";"d_wl";"adr";"res_s";"arr"
"Resort Hotel";"0";58;"January";"4";0;3;2;0;0;"BB";"TUR";0;42;"Check-Out";2017-01-26
"City Hotel";"0";84;"October";"45";1;3;2;1;0;"HB";"CHE";0;149.18;"Check-Out";2016-10-31
"City Hotel";"0";76;"May";"21";0;3;1;0;0;"BB";"NLD";0;126.9;"Check-Out";2016-05-17
"City Hotel";"0";22;"August";"35";0;2;1;0;0;"BB";"PRT";0;65;"Check-Out";2015-08-26
"Resort Hotel";"0";4;"December";"52";0;2;2;0;0;"BB";"ESP";0;55;"Check-Out";2015-12-24
"City Hotel";"0";6;"December";"50";0;2;1;0;0;"HB";"DEU";0;0;"Check-Out";2015-12-10
"Resort Hotel";"1";135;"May";"22";0;2;2;0;0;"BB";"PRT";0;57.8;"Canceled";2016-05-27
"Resort Hotel";"0";0;"July";"30";1;0;2;0;0;"BB";"GBR";0;115;"Check-Out";2016-07-17
"Resort Hotel";"1";176;"July";"29";0;2;3;1;0;"HB";"PRT";0;303;"Canceled";2017-07-20
"City Hotel";"0";66;"August";"33";2;2;2;0;0;"BB";"FRA";0;160;"Check-Out";2017-08-13
"City Hotel";"0";3;"October";"41";1;0;2;0;0;"SC";"PRT";0;87.78;"Check-Out";2015-10-05
"City Hotel";"1";41;"February";"8";1;1;2;0;0;"BB";"PRT";9;85;"Canceled";2017-02-20
"City Hotel";"1";22;"January";"1";0;2;2;0;0;"SC";"KOR";0;88;"Canceled";2017-01-03
"City Hotel";"1";64;"February";"6";2;3;2;0;0;"SC";"ESP";0;74.8;"Canceled";2017-02-10
"City Hotel";"1";99;"February";"8";0;1;2;0;0;"BB";"PRT";0;90;"No-Show";2016-02-19
"City Hotel";"0";123;"June";"26";0;4;2;0;0;"BB";"GBR";0;96.53;"Check-Out";2017-06-28
"City Hotel";"1";226;"July";"28";2;1;2;0;0;"BB";"PRT";0;110;"Canceled";2017-07-09
"Resort Hotel";"0";1;"October";"42";0;1;2;0;0;"BB";"ESP";0;96;"Check-Out";2016-10-12
"Resort Hotel";"0";383;"October";"41";0;3;2;0;0;"BB";"GBR";0;48;"Check-Out";2016-10-06
"City Hotel";"0";8;"July";"30";2;5;3;0;0;"BB";"ROU";0;129;"Check-Out";2017-07-27
"Resort Hotel";"0";137;"September";"37";3;7;2;0;0;"HB";"GBR";0;89.55;"Check-Out";2015-09-07
"Resort Hotel";"0";13;"June";"26";1;0;2;0;0;"BB";"ESP";0;99;"Check-Out";2016-06-20
"Resort Hotel";"0";17;"October";"44";0;3;2;0;0;"HB";"ESP";0;122.67;"Check-Out";2016-10-27
"City Hotel";"0";26;"October";"43";2;4;2;0;0;"BB";"FRA";0;139;"Check-Out";2016-10-16
"Resort Hotel";"0";1;"June";"24";0;2;2;0;0;"BB";"PRT";0;154;"Check-Out";2017-06-16
"Resort Hotel";"0";13;"July";"28";1;3;2;0;0;"BB";"BEL";0;208.5;"Check-Out";2016-07-07
"Resort Hotel";"1";244;"August";"33";3;7;2;2;0;"BB";"MAR";0;246.8;"Canceled";2017-08-14
"City Hotel";"0";0;"June";"23";0;1;2;0;0;"SC";"PRT";0;116.1;"Check-Out";2016-06-01
"City Hotel";"0";2;"July";"28";0;1;2;0;0;"BB";"PRT";0;149;"Check-Out";2016-07-06
"City Hotel";"0";0;"August";"33";2;0;2;0;0;"BB";"FRA";0;105;"Check-Out";2015-08-09
"Resort Hotel";"0";189;"August";"33";4;5;2;0;0;"BB";"IRL";0;186.44;"Check-Out";2017-08-13
"City Hotel";"1";153;"June";"25";0;4;1;0;0;"BB";"PRT";0;110;"Canceled";2017-06-21
"City Hotel";"0";3;"March";"10";0;1;1;0;0;"SC";"BRA";0;88;"Check-Out";2017-03-09
"City Hotel";"1";297;"August";"33";1;1;2;0;0;"BB";"PRT";0;62;"Canceled";2015-08-10
"City Hotel";"0";4;"January";"1";0;3;2;1;0;"HB";"ITA";0;141.91;"Check-Out";2017-01-05
"Resort Hotel";"0";191;"August";"34";2;7;2;0;0;"BB";"IRL";0;125.55;"Check-Out";2016-08-17
"City Hotel";"1";330;"September";"37";2;1;2;0;0;"BB";"PRT";0;62.8;"Canceled";2015-09-12
"City Hotel";"1";66;"April";"15";2;0;2;0;0;"BB";"PRT";0;100;"Canceled";2017-04-09
"City Hotel";"0";7;"February";"7";0;3;2;0;0;"HB";"FRA";0;116;"Check-Out";2016-02-11
"City Hotel";"0";10;"January";"4";1;5;2;0;0;"BB";"FRA";0;76.5;"Check-Out";2017-01-23
"Resort Hotel";"0";222;"May";"22";0;4;2;0;0;"BB";"PRT";0;52.98;"Check-Out";2016-05-24
"Resort Hotel";"0";147;"August";"33";0;2;2;2;0;"BB";"PRT";0;271;"Check-Out";2016-08-12
"Resort Hotel";"0";124;"August";"31";2;5;2;0;0;"BB";"PRT";0;120.6;"Check-Out";2015-08-01
"Resort Hotel";"0";173;"April";"18";2;5;2;0;0;"BB";"IRL";0;46.98;"Check-Out";2016-04-30
"City Hotel";"1";243;"July";"30";0;4;2;0;0;"BB";"PRT";0;110;"Canceled";2017-07-26
"City Hotel";"1";164;"August";"33";0;1;2;0;0;"BB";"PRT";0;60;"Canceled";2015-08-14
"City Hotel";"1";150;"June";"24";2;3;1;0;0;"BB";"PRT";0;120;"Canceled";2017-06-17
"Resort Hotel";"0";48;"August";"34";1;1;2;0;0;"BB";"ESP";0;206;"Check-Out";2016-08-20
"Resort Hotel";"0";1;"March";"11";0;1;1;0;0;"BB";"PRT";0;35;"Check-Out";2017-03-15
"Resort Hotel";"1";329;"June";"25";2;7;2;0;0;"BB";"IRL";0;74.25;"Canceled";2017-06-21
"Resort Hotel";"0";127;"May";"20";2;5;2;0;0;"BB";"GBR";0;56;"Check-Out";2017-05-17
"City Hotel";"1";17;"November";"47";0;1;1;0;0;"BB";"PRT";0;67;"Canceled";2016-11-17
"Resort Hotel";"0";130;"July";"29";2;5;2;0;0;"FB";"PRT";0;252.3;"Check-Out";2017-07-22
"Resort Hotel";"0";0;"June";"27";0;1;2;0;0;"BB";"PRT";0;149;"Check-Out";2016-06-30
"City Hotel";"1";313;"August";"35";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2015-08-26
"Resort Hotel";"1";129;"July";"30";0;2;1;0;0;"BB";"PRT";0;175.5;"Canceled";2017-07-25
"City Hotel";"0";92;"March";"10";0;3;2;0;0;"BB";"BEL";0;97.2;"Check-Out";2017-03-09
"City Hotel";"1";49;"July";"29";1;0;2;0;0;"SC";"CHN";0;93.15;"Canceled";2016-07-11
"Resort Hotel";"0";4;"May";"19";2;1;1;0;0;"BB";"PRT";0;48.6;"Check-Out";2016-05-07
"City Hotel";"1";99;"February";"8";0;1;2;0;0;"BB";"PRT";0;80;"Canceled";2016-02-19
"City Hotel";"0";81;"March";"13";1;3;2;0;0;"BB";"GBR";0;77.89;"Check-Out";2017-03-30
"City Hotel";"0";16;"July";"30";2;1;2;0;0;"HB";"PRT";0;86;"Check-Out";2015-07-25
"Resort Hotel";"0";0;"July";"30";0;2;2;0;0;"BB";"PRT";0;192.5;"Check-Out";2017-07-28
"Resort Hotel";"1";58;"September";"39";1;1;2;0;0;"HB";"PRT";0;90;"Canceled";2015-09-21
"City Hotel";"1";292;"August";"32";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2015-08-05
"Resort Hotel";"1";74;"February";"9";1;2;2;0;0;"Undefined";"PRT";0;70;"Canceled";2016-02-26
"City Hotel";"0";1;"January";"5";0;1;1;0;0;"BB";"PRT";0;65;"Check-Out";2016-01-28
"City Hotel";"0";119;"August";"33";2;6;2;0;0;"BB";"DEU";0;72.25;"Check-Out";2016-08-13
"City Hotel";"0";78;"January";"4";0;2;1;0;0;"BB";"RUS";0;85;"Check-Out";2017-01-25
"City Hotel";"0";12;"November";"48";0;1;1;0;0;"BB";"PRT";0;65;"Check-Out";2015-11-25
"City Hotel";"0";0;"September";"39";0;2;2;0;0;"BB";"BRA";0;119.97;"Check-Out";2015-09-23
"City Hotel";"0";104;"December";"53";2;1;0;2;0;"BB";"PRT";0;91.6;"Check-Out";2016-12-25
"City Hotel";"0";0;"September";"40";0;1;3;0;0;"BB";"PRT";0;205;"Check-Out";2016-09-27
"City Hotel";"0";83;"June";"25";0;1;2;0;0;"BB";"TWN";0;167.4;"Check-Out";2016-06-14
"City Hotel";"1";276;"July";"30";1;1;2;0;0;"BB";"PRT";0;62;"Canceled";2015-07-20
"Resort Hotel";"0";84;"March";"9";6;19;2;0;0;"HB";"CN";0;55.8;"Check-Out";2017-03-01
"City Hotel";"1";193;"June";"26";1;2;2;0;0;"BB";"PRT";39;120;"Canceled";2016-06-20
"City Hotel";"0";195;"July";"30";2;4;2;0;0;"SC";"PRT";0;0;"Check-Out";2016-07-20
"Resort Hotel";"0";7;"June";"23";0;2;1;0;0;"BB";"PRI";0;58;"Check-Out";2016-06-01
"City Hotel";"0";6;"November";"48";0;2;1;0;0;"BB";"PRT";0;75;"Check-Out";2016-11-23
"City Hotel";"1";2;"April";"18";1;0;2;0;0;"SC";"PRT";0;89;"Canceled";2016-04-24
"City Hotel";"0";45;"March";"11";2;3;2;0;0;"SC";"GBR";0;74.8;"Check-Out";2017-03-12
"City Hotel";"0";36;"July";"29";0;1;2;1;0;"BB";"DNK";0;131.15;"Check-Out";2016-07-15
"City Hotel";"1";114;"April";"18";2;5;2;0;0;"BB";"FRA";0;106.74;"No-Show";2016-04-30
"City Hotel";"1";156;"April";"17";0;3;2;0;0;"BB";"PRT";0;100;"Canceled";2017-04-26
"City Hotel";"0";24;"November";"46";0;1;2;0;0;"BB";"PRT";0;185.4;"Check-Out";2016-11-10
"Resort Hotel";"1";216;"August";"33";2;5;2;0;0;"HB";"PRT";0;204;"Canceled";2017-08-19
"Resort Hotel";"0";1;"July";"29";0;0;2;0;0;"BB";"NLD";0;0;"Check-Out";2017-07-19
"City Hotel";"0";181;"October";"42";0;2;1;0;0;"BB";"FRA";0;120;"Check-Out";2016-10-11
"Resort Hotel";"1";364;"October";"42";0;4;2;0;0;"BB";"PRT";0;46;"Canceled";2016-10-12
"Resort Hotel";"1";23;"December";"50";1;1;2;0;0;"BB";"GBR";0;72;"Canceled";2016-12-10
"City Hotel";"1";54;"August";"33";0;1;2;1;0;"BB";"FRA";0;189;"Canceled";2017-08-16
"City Hotel";"0";25;"September";"38";2;0;2;0;0;"BB";"BRA";0;110;"Check-Out";2016-09-11
"Resort Hotel";"0";13;"July";"30";0;1;2;1;0;"HB";"PRT";0;193.81;"Check-Out";2015-07-22
"Resort Hotel";"1";148;"October";"43";0;1;2;0;0;"BB";"PRT";0;47;"Canceled";2015-10-24
"Resort Hotel";"0";85;"July";"30";3;6;2;0;0;"BB";"AUT";0;165.56;"Check-Out";2016-07-18
"City Hotel";"0";12;"June";"23";1;1;2;0;0;"SC";"ROU";0;149;"Check-Out";2017-06-05
"City Hotel";"1";44;"July";"27";0;2;3;0;0;"BB";"BEL";0;150.3;"Canceled";2016-07-01
"City Hotel";"0";0;"December";"51";0;1;1;0;0;"BB";"PRT";0;67;"Check-Out";2016-12-13
"Resort Hotel";"0";4;"January";"3";0;0;1;0;0;"Undefined";"PRT";0;0;"Check-Out";2017-01-17
"City Hotel";"0";2;"July";"28";0;1;1;0;0;"BB";"PRT";0;65;"Check-Out";2017-07-12
"Resort Hotel";"1";177;"July";"27";2;5;2;2;0;"BB";"BEL";0;182.86;"Canceled";2017-07-02
"City Hotel";"1";137;"January";"5";0;2;1;0;0;"BB";"PRT";45;70;"Canceled";2016-01-27
"City Hotel";"0";167;"August";"32";2;3;2;0;0;"BB";"IRL";0;72.25;"Check-Out";2016-08-04
"City Hotel";"1";116;"May";"20";1;2;3;0;0;"HB";"FRA";0;216;"Canceled";2017-05-15
"City Hotel";"0";60;"December";"53";2;3;2;0;0;"BB";"FRA";0;68;"Check-Out";2015-12-27
"Resort Hotel";"1";214;"March";"12";2;5;1;0;0;"HB";"PRT";0;46;"Canceled";2017-03-24
"City Hotel";"0";151;"January";"4";0;3;1;0;0;"BB";"GBR";63;71;"Check-Out";2016-01-19
"City Hotel";"0";405;"July";"27";0;2;2;0;0;"HB";"DEU";0;114.4;"Check-Out";2017-07-04
"City Hotel";"1";10;"February";"8";0;3;3;0;0;"BB";"FRA";0;130.33;"Canceled";2016-02-17
"Resort Hotel";"0";184;"July";"28";2;9;2;0;0;"HB";"GBR";0;110.5;"Check-Out";2015-07-07
"City Hotel";"1";24;"June";"22";4;10;2;0;0;"BB";"ARE";0;143.57;"Canceled";2017-06-01
"City Hotel";"0";48;"April";"15";1;3;3;0;0;"BB";"BEL";0;198;"Check-Out";2017-04-10
"Resort Hotel";"0";0;"December";"49";0;1;2;0;0;"BB";"FRA";0;48;"Check-Out";2016-12-02
"City Hotel";"0";38;"January";"5";1;0;2;0;0;"BB";"BRA";0;84.08;"Check-Out";2017-01-29
"City Hotel";"0";123;"October";"44";2;2;2;0;0;"BB";"DEU";0;68;"Check-Out";2016-10-28
"City Hotel";"1";146;"April";"18";2;0;2;0;0;"BB";"PRT";50;95;"Canceled";2016-04-24
"City Hotel";"1";34;"March";"10";2;1;2;0;0;"HB";"CHE";0;159.33;"Canceled";2017-03-11
"City Hotel";"1";79;"April";"14";2;5;3;0;0;"HB";"BEL";0;191.57;"Canceled";2017-04-08
"City Hotel";"0";64;"July";"30";2;1;2;0;0;"BB";"ARG";0;129.9;"Check-Out";2017-07-23
"City Hotel";"1";158;"May";"22";0;2;1;0;0;"BB";"PRT";31;130;"Canceled";2016-05-24
"Resort Hotel";"0";198;"May";"18";1;2;2;0;0;"BB";"IRL";0;54;"Check-Out";2017-05-05
"City Hotel";"1";114;"March";"13";0;2;2;0;0;"BB";"FRA";0;107.1;"Canceled";2017-03-31
"City Hotel";"0";175;"July";"28";2;0;2;2;0;"BB";"GBR";0;179.1;"Check-Out";2017-07-09
"City Hotel";"0";9;"May";"19";1;2;3;0;0;"BB";"CHN";0;216;"Check-Out";2017-05-12
"Resort Hotel";"0";80;"April";"15";0;3;2;0;0;"Undefined";"ESP";0;68;"Check-Out";2016-04-07
"Resort Hotel";"0";28;"February";"7";2;6;2;0;0;"HB";"FRA";0;55;"Check-Out";2016-02-10
"City Hotel";"0";10;"February";"6";2;1;3;0;0;"BB";"ITA";0;132.5;"Check-Out";2016-02-06
"Resort Hotel";"1";259;"April";"17";4;7;2;0;0;"BB";"NLD";0;54;"Canceled";2017-04-23
"Resort Hotel";"0";0;"January";"4";0;2;2;0;0;"BB";"GBR";0;53;"Check-Out";2017-01-27
"Resort Hotel";"0";0;"April";"17";2;3;1;0;0;"BB";"GBR";0;123.1;"Check-Out";2017-04-27
"City Hotel";"1";307;"August";"33";2;4;2;0;0;"SC";"ITA";0;95.1;"Canceled";2017-08-16
"Resort Hotel";"0";102;"February";"9";1;1;2;0;0;"BB";"PRT";0;37;"Check-Out";2016-02-27
"City Hotel";"0";188;"August";"33";2;5;2;1;0;"BB";"ESP";0;123.75;"Check-Out";2016-08-09
"City Hotel";"0";2;"August";"35";0;2;2;0;1;"BB";"PRT";0;164;"Check-Out";2016-08-24
"City Hotel";"0";21;"February";"8";2;1;2;0;0;"BB";"JPN";0;72;"Check-Out";2017-02-19
"City Hotel";"1";212;"August";"33";1;1;2;0;0;"HB";"PRT";0;96;"Canceled";2016-08-13
"City Hotel";"1";351;"October";"40";2;2;2;0;0;"BB";"PRT";0;62;"Canceled";2015-10-03
"City Hotel";"1";181;"June";"23";0;2;2;0;0;"BB";"PRT";0;100;"Canceled";2017-06-08
"Resort Hotel";"0";47;"September";"36";2;5;2;0;0;"BB";"GBR";0;98;"Check-Out";2015-09-05
"Resort Hotel";"1";52;"August";"35";0;2;2;0;0;"BB";"PRT";0;157.08;"Canceled";2016-08-25
"City Hotel";"0";20;"March";"12";0;1;3;0;0;"BB";"GBR";0;127;"Check-Out";2016-03-17
"Resort Hotel";"0";0;"October";"44";1;0;1;0;0;"BB";"PRT";0;45;"Check-Out";2015-10-26
"City Hotel";"0";0;"June";"27";2;4;2;0;0;"BB";"CHE";0;130.8;"Check-Out";2016-06-26
"City Hotel";"0";184;"August";"34";2;2;2;0;0;"BB";"GBR";0;126;"Check-Out";2017-08-20
"Resort Hotel";"0";287;"October";"42";1;3;2;0;0;"BB";"NLD";0;44.5;"Check-Out";2015-10-15
"City Hotel";"1";41;"October";"43";0;1;2;0;0;"BB";"PRT";0;96.3;"Canceled";2015-10-23
"Resort Hotel";"1";259;"September";"38";0;3;2;0;0;"BB";"GBR";0;40.05;"Canceled";2015-09-17
"City Hotel";"0";26;"May";"20";0;2;1;0;0;"BB";"FRA";0;130;"Check-Out";2017-05-17
"City Hotel";"0";39;"August";"33";2;3;2;0;0;"HB";"ESP";0;170.1;"Check-Out";2016-08-13
"City Hotel";"1";174;"March";"13";1;2;2;0;0;"BB";"PRT";0;115.2;"Canceled";2016-03-25
"City Hotel";"0";8;"March";"11";0;1;1;0;0;"BB";"PRT";0;96;"Check-Out";2016-03-08
"Resort Hotel";"0";1;"April";"17";1;0;2;0;0;"BB";"CHN";0;80;"Check-Out";2016-04-18
"City Hotel";"1";410;"May";"19";0;1;2;0;0;"BB";"PRT";0;90;"Canceled";2017-05-09
"Resort Hotel";"1";114;"June";"24";2;4;2;0;0;"BB";"PRT";0;117.04;"Canceled";2017-06-11
"Resort Hotel";"1";16;"October";"41";2;5;2;0;0;"BB";"PRT";0;68.86;"Canceled";2015-10-07
"City Hotel";"1";0;"August";"32";0;0;0;0;0;"SC";"PRT";0;0;"Canceled";2017-08-11
"City Hotel";"1";103;"April";"17";0;2;1;0;0;"BB";"PRT";0;115;"Canceled";2016-04-19
"City Hotel";"0";47;"May";"20";1;2;1;0;0;"HB";"ITA";0;134.5;"Check-Out";2017-05-15
"City Hotel";"0";85;"April";"14";0;2;1;0;0;"BB";"SWE";0;81.9;"Check-Out";2016-04-01
"City Hotel";"1";74;"September";"38";0;2;2;0;0;"HB";"PRT";0;101.5;"Canceled";2015-09-18
"Resort Hotel";"0";1;"May";"21";2;5;2;0;0;"BB";"DNK";0;75.43;"Check-Out";2017-05-27
"City Hotel";"1";304;"August";"34";1;1;2;0;0;"BB";"PRT";0;62;"Canceled";2015-08-17
"City Hotel";"1";84;"August";"31";4;9;2;0;0;"BB";"PRT";0;112;"Canceled";2017-08-03
"City Hotel";"0";72;"October";"44";0;3;2;0;0;"BB";"ISR";58;85.67;"Check-Out";2015-10-28
"City Hotel";"0";58;"August";"34";2;3;2;0;0;"BB";"FRA";0;150.33;"Check-Out";2017-08-24
"City Hotel";"1";186;"September";"37";4;6;2;0;0;"SC";"PRT";0;84.43;"Canceled";2016-09-10
"Resort Hotel";"0";40;"January";"3";2;5;1;0;0;"HB";"GBR";0;39.79;"Check-Out";2016-01-13
"City Hotel";"0";88;"June";"25";0;3;2;0;0;"SC";"PRT";0;134.1;"Check-Out";2016-06-15
"City Hotel";"1";64;"April";"14";4;10;1;0;0;"BB";"PRT";0;109.65;"No-Show";2016-04-01
"City Hotel";"1";323;"May";"22";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2016-05-26
"City Hotel";"1";105;"June";"25";0;2;2;0;0;"SC";"ISR";0;126;"Canceled";2017-06-21
"City Hotel";"0";47;"May";"20";0;2;2;0;0;"BB";"PRT";0;95;"Check-Out";2017-05-17
"City Hotel";"0";0;"August";"35";0;1;2;0;0;"SC";"USA";0;139;"Check-Out";2016-08-23
"City Hotel";"0";1;"December";"53";0;1;2;0;0;"BB";"PRT";0;135;"Check-Out";2015-12-31
